,timestamp
13,2023-04-21 10:24:06.496000+00:00
14,2023-04-21 10:24:09.326000+00:00
15,2023-04-21 10:24:11.622000+00:00
16,2023-04-21 10:24:13.830000+00:00
17,2023-04-21 10:24:16.125000+00:00
18,2023-04-21 10:24:18.330000+00:00
19,2023-04-21 10:24:20.137000+00:00
20,2023-04-21 10:24:22.234000+00:00
21,2023-04-21 10:24:24.327000+00:00
22,2023-04-21 10:24:26.627000+00:00
23,2023-04-21 10:24:28.832000+00:00
24,2023-04-21 10:24:31.132000+00:00
25,2023-04-21 10:33:04.106000+00:00
26,2023-04-21 10:33:06.524000+00:00
27,2023-04-21 10:33:41.908000+00:00
28,2023-04-21 10:33:44.126000+00:00
29,2023-04-21 10:33:46.539000+00:00
30,2023-04-21 10:33:48.727000+00:00
31,2023-04-21 10:33:51.030000+00:00
32,2023-04-21 10:33:53.131000+00:00
33,2023-04-21 10:33:55.925000+00:00
34,2023-04-21 10:33:58.130000+00:00
35,2023-04-21 10:34:00.125000+00:00
36,2023-04-21 10:34:02.127000+00:00
37,2023-04-21 10:34:04.635000+00:00
38,2023-04-21 10:34:07.024000+00:00
39,2023-04-21 10:34:09.728000+00:00
40,2023-04-21 10:34:12.132000+00:00
41,2023-04-21 10:34:14.627000+00:00
42,2023-04-21 10:34:16.827000+00:00
43,2023-04-21 10:34:19.331000+00:00
44,2023-04-21 10:34:21.429000+00:00
45,2023-04-21 10:34:23.631000+00:00
46,2023-04-21 10:34:25.632000+00:00
47,2023-04-21 10:34:27.835000+00:00
48,2023-04-21 10:34:30.133000+00:00
49,2023-04-21 10:34:32.227000+00:00
50,2023-04-21 10:34:34.723000+00:00
51,2023-04-21 10:34:36.531000+00:00
52,2023-04-21 10:34:38.933000+00:00
53,2023-04-21 10:34:41.527000+00:00
54,2023-04-21 10:34:43.732000+00:00
55,2023-04-21 10:34:45.932000+00:00
56,2023-04-21 10:34:48.325000+00:00
57,2023-04-21 10:34:50.528000+00:00
58,2023-04-21 10:34:51.323000+00:00
59,2023-04-21 10:34:52.634000+00:00
60,2023-04-21 10:34:54.834000+00:00
61,2023-04-21 10:34:57.130000+00:00
62,2023-04-21 10:34:59.628000+00:00
63,2023-04-21 10:35:01.724000+00:00
64,2023-04-21 10:35:03.642000+00:00
65,2023-04-21 10:35:04.330000+00:00
66,2023-04-21 10:35:06.626000+00:00
67,2023-04-21 10:35:09.023000+00:00
68,2023-04-21 10:35:11.030000+00:00
69,2023-04-21 10:35:13.230000+00:00
70,2023-04-21 10:35:15.433000+00:00
71,2023-04-21 10:35:17.734000+00:00
72,2023-04-21 10:35:19.928000+00:00
73,2023-04-21 10:35:21.730000+00:00
74,2023-04-21 10:35:24.025000+00:00
75,2023-04-21 10:35:26.226000+00:00
76,2023-04-21 10:35:28.628000+00:00
77,2023-04-21 10:35:30.731000+00:00
78,2023-04-21 10:35:33.035000+00:00
79,2023-04-21 10:35:35.127000+00:00
80,2023-04-21 10:35:36.824000+00:00
81,2023-04-21 10:35:38.835000+00:00
82,2023-04-21 10:35:41.729000+00:00
83,2023-04-21 10:35:44.133000+00:00
84,2023-04-21 10:35:46.024000+00:00
85,2023-04-21 10:35:48.335000+00:00
86,2023-04-21 10:35:50.426000+00:00
87,2023-04-21 10:35:52.528000+00:00
88,2023-04-21 10:35:54.924000+00:00
89,2023-04-21 10:35:56.829000+00:00
90,2023-04-21 10:35:58.732000+00:00
91,2023-04-21 10:36:00.831000+00:00
92,2023-04-21 10:36:03.427000+00:00
93,2023-04-21 10:36:05.523000+00:00
94,2023-04-21 10:36:07.531000+00:00
95,2023-04-21 10:36:09.926000+00:00
96,2023-04-21 10:36:12.131000+00:00
97,2023-04-21 10:36:14.432000+00:00
